Gender,Married,Education,ApplicantIncome,LoanAmount,Credit_History,Loan_To_Income_Ratio,Loan_Status
Female,No,Graduate,36153,379,1,10.483224075457086,Y
Male,No,Graduate,34520,339,0,9.820393974507532,Y
Male,Yes,Graduate,5239,184,1,35.12120633708723,Y
Male,No,Not Graduate,46167,611,1,13.23456148331059,Y
Female,No,Not Graduate,28639,481,0,16.795279164775305,N
Female,Yes,Not Graduate,18504,867,1,46.85473411154345,Y
Female,Yes,Graduate,37948,41,1,1.0804258458943818,Y
Male,Yes,Graduate,13239,647,0,48.87076063146763,N
Male,No,Graduate,34828,765,1,21.96508556333984,Y
Male,Yes,Not Graduate,2465,761,1,308.72210953346854,N
Female,No,Not Graduate,42050,887,1,21.093935790725325,Y
Male,No,Graduate,22684,731,1,32.22535707988009,Y
Male,Yes,Graduate,32016,928,1,28.985507246376812,Y
Female,No,Not Graduate,11451,339,1,29.604401362326435,Y
Female,Yes,Graduate,34015,508,1,14.934587681905041,Y
Female,Yes,Not Graduate,38725,23,1,0.5939315687540349,Y
Female,No,Graduate,23924,16,0,0.6687844841999666,N
Male,Yes,Graduate,31077,247,1,7.948000128712553,Y
Male,No,Not Graduate,23088,109,1,4.721067221067221,Y
Female,Yes,Not Graduate,44757,267,0,5.965547288692272,Y
Male,Yes,Graduate,25144,185,1,7.357620108176901,Y
Female,Yes,Not Graduate,42169,38,1,0.9011359055230146,Y
Female,Yes,Graduate,40166,910,1,22.65597769257581,Y
Female,No,Graduate,20819,18,0,0.8645948412507806,Y
Male,Yes,Graduate,11889,738,0,62.074186222558666,N
Male,No,Graduate,20601,160,1,7.766613271200427,Y
Female,Yes,Graduate,41397,913,1,22.054738266057928,Y
Male,Yes,Not Graduate,11767,893,0,75.89020141072491,N
Male,No,Graduate,26459,657,1,24.83087040326543,Y
Female,Yes,Graduate,40401,675,0,16.707507239919803,Y
Male,No,Graduate,17997,15,1,0.833472245374229,Y
Female,Yes,Not Graduate,32289,985,1,30.50574499055406,Y
Female,Yes,Not Graduate,12658,879,1,69.44224996049928,N
Male,Yes,Graduate,5909,896,0,151.6331020477238,N
Male,Yes,Not Graduate,39822,662,1,16.623976696298527,Y
Male,No,Graduate,5398,351,0,65.02408299370137,N
Female,No,Graduate,13933,894,1,64.16421445489127,Y
Female,No,Graduate,42827,298,1,6.958227286524856,Y
Male,No,Graduate,17650,567,0,32.124645892351275,N
Male,No,Graduate,48665,108,1,2.2192540840439743,Y
Female,Yes,Graduate,48996,922,1,18.817862682667972,Y
Male,Yes,Not Graduate,13779,149,0,10.813556861891284,N
Female,Yes,Graduate,2528,232,1,91.77215189873418,N
Male,No,Graduate,35400,562,0,15.875706214689265,N
Female,Yes,Graduate,22823,766,1,33.56263418481357,Y
Male,Yes,Graduate,5487,623,1,113.54109713869146,N
Female,No,Graduate,35522,239,0,6.72822476211925,Y
Male,Yes,Graduate,2043,10,1,4.894762604013706,Y
Male,Yes,Graduate,43574,759,1,17.418644145591408,Y
Female,No,Not Graduate,7363,985,1,133.7769930734755,N
Male,Yes,Graduate,6801,811,1,119.24716953389208,N
Male,Yes,Graduate,9195,465,1,50.57096247960848,Y
Male,No,Graduate,48033,904,1,18.820394312243664,Y
Male,Yes,Graduate,34811,415,1,11.92151906006722,Y
Male,Yes,Graduate,40167,529,1,13.170015186595961,Y
Male,Yes,Not Graduate,20182,482,1,23.8826677237142,Y
Female,Yes,Graduate,17147,453,1,26.418615501253864,Y
Female,Yes,Not Graduate,12106,777,1,64.18304972740789,Y
Female,Yes,Graduate,24292,531,1,21.859048246336243,Y
Female,Yes,Graduate,27815,323,1,11.612439331296063,Y
Female,No,Not Graduate,31772,265,1,8.340677325947375,Y
Female,Yes,Not Graduate,13227,47,1,3.553337869509337,Y
Male,Yes,Graduate,47458,587,1,12.368831387753382,Y
Female,Yes,Not Graduate,8903,237,1,26.620240368415143,Y
Female,No,Graduate,48299,156,0,3.229880535828899,Y
Male,Yes,Not Graduate,1235,657,1,531.9838056680162,N
Female,No,Not Graduate,24315,684,1,28.13078346699568,Y
Male,No,Graduate,17001,754,1,44.35033233339215,Y
Female,No,Graduate,22731,508,0,22.348334873080816,Y
Male,No,Graduate,28747,895,0,31.133683514801543,Y
Male,Yes,Graduate,22061,936,1,42.42781378903948,Y
Female,Yes,Graduate,21034,809,1,38.46153846153846,Y
Female,No,Graduate,36769,639,0,17.378770159645352,N
Male,Yes,Graduate,34450,310,1,8.99854862119013,Y
Male,Yes,Graduate,41746,983,1,23.547166195563648,Y
Male,Yes,Graduate,12872,281,0,21.83032939714108,Y
Male,No,Graduate,30671,210,1,6.846858596067947,Y
Female,Yes,Not Graduate,29467,447,1,15.169511657107952,Y
Female,Yes,Graduate,18802,66,1,3.5102648654398467,Y
Female,Yes,Not Graduate,24559,978,1,39.82246834154485,Y
Male,No,Graduate,16032,592,1,36.92614770459082,Y
Male,No,Not Graduate,7521,561,1,74.59114479457519,N
Female,Yes,Graduate,11083,659,1,59.460434900297756,Y
Female,Yes,Graduate,5722,502,1,87.73156239077245,Y
